,resnet18,resnet34,resnet50
Raw,0.007432765098073375,0.011262918836507365,0.015097524652529002
FP32,0.003625017913741682,0.005848102234116751,0.010952574523849104
FP16,0.0017815654601284008,0.004464829986418911,0.0041645591582485176
INT8,0.0018363609984891499,0.004203463319557995,0.0030628951949689853
