,fcn_resnet50,fcn_resnet101,deeplabv3_resnet50,deeplabv3_resnet101
Raw,0.20535858312443872,0.34430714108836113,0.2810230279088619,0.425959756026915
FP32,0.17381846126000486,0.29017985765658433,0.2523143626936716,0.3665324635242098
FP16,0.03663515685191705,0.05692227521733423,0.12986798621901316,0.1511950037587228
INT8,0.021869432986082144,0.032291673535677655,0.09735102749350083,0.10828216591073041
