,resnet18,resnet34,resnet50
128,0.007868697295835869,0.014414251749239975,0.01414928244585967
256,0.007717028335111225,0.014684499807693251,0.017655759600538706
512,0.02013937672178949,0.03769871218120632,0.04788235084495353
1024,0.07168652424261199,0.13482510863836086,0.1791151432535756
